"Objective_function","Main_InitAge_4","Main_InitAge_3","Main_InitAge_2","Main_InitAge_1","Main_RecrDev_1992","Main_RecrDev_1993","Main_RecrDev_1994","Main_RecrDev_1995","Main_RecrDev_1996","Main_RecrDev_1997","Main_RecrDev_1998","Main_RecrDev_1999","Main_RecrDev_2000","Main_RecrDev_2001","Main_RecrDev_2002","Main_RecrDev_2003","Main_RecrDev_2004","Main_RecrDev_2005","Main_RecrDev_2006","Main_RecrDev_2007","Main_RecrDev_2008","Main_RecrDev_2009","Main_RecrDev_2010","Main_RecrDev_2011","Main_RecrDev_2012","Main_RecrDev_2013","Main_RecrDev_2014","Main_RecrDev_2015","Main_RecrDev_2016","Main_RecrDev_2017","Main_RecrDev_2018","Main_RecrDev_2019","Main_RecrDev_2020","SSB_Virgin","SSB_Initial","SSB_1992","SSB_1993","SSB_1994","SSB_1995","SSB_1996","SSB_1997","SSB_1998","SSB_1999","SSB_2000","SSB_2001","SSB_2002","SSB_2003","SSB_2004","SSB_2005","SSB_2006","SSB_2007","SSB_2008","SSB_2009","SSB_2010","SSB_2011","SSB_2012","SSB_2013","SSB_2014","SSB_2015","SSB_2016","SSB_2017","SSB_2018","SSB_2019","SSB_2020","SSB_2021","SSB_2022","SSB_2023","SSB_2024","SSB_2025","SSB_2026","SSB_2027","SSB_2028","SSB_2029","SSB_2030","SSB_2031","SSB_unfished","SSB_Btgt","SSB_SPR","SSB_MSY"
331.985,0.438378,0.420276,1.06537,1.28979,1.19817,1.24901,1.06581,0.599253,0.618024,0.163236,-0.215655,-0.753316,-1.32015,-1.18994,-0.917008,-0.691724,-0.643613,-0.63725,-0.611108,-0.840139,-0.876007,-0.499389,-0.288982,-0.181361,-0.0391941,0.214817,0.510663,0.318643,0.303105,0.55292,-0.0510476,-0.157744,-0.0938391,684639,684639,775434,911908,1173300,1372190,1501490,1518940,1379350,1214980,1005230,771286,537904,337378,192061,137055,137402,148145,155740,157180,149771,137319,150903,190102,234125,299174,391732,528650,624144,665231,712713,680450,608557,371360,305524,287536,278458,265724,250565,237061,227112,220752,684639,273856,285650,166714
325.662,0.0447265,0.547865,1.01256,1.49082,1.44059,1.43528,1.19076,0.678157,0.66721,0.210264,-0.256584,-0.985996,-1.25499,-1.08516,-0.580848,-0.554002,-0.464958,-0.387655,-0.438925,-1.0267,-0.946635,-0.636795,-0.672017,-0.345679,-0.121275,-0.104038,0.275696,0.189713,0.440477,0.0471577,-0.185144,0.289238,0.0868836,613670,613670,650844,779938,1094090,1391030,1578640,1598170,1431900,1235300,1003140,751662,501735,301744,166888,128369,133606,146196,164097,172508,152523,126015,125349,135763,159674,214329,266109,344026,415567,489995,504571,461313,464659,351260,310323,294191,288130,283562,278348,273206,268933,265918,613670,245468,238968,141121
332.012,0.027748,0.604711,1.16101,1.37995,1.46092,1.33326,1.11076,0.647087,0.483566,0.371578,-0.151132,-0.6223,-1.35895,-0.800227,-0.649249,-0.517499,-0.201674,-0.214079,-0.532003,-0.883766,-0.862423,-0.666868,-0.550242,-0.122245,-0.103797,-0.0423024,0.058795,0.140418,0.265616,0.0617609,-1.43419,0.0868285,0.518934,594350,594350,638959,805774,1075540,1338640,1484920,1468480,1307030,1105280,908186,701713,486833,298004,172777,132828,133522,161165,193272,192702,167164,140257,133398,144817,184287,241570,288956,335506,381201,426649,436321,357770,336842,328303,381023,410296,425045,441007,458087,472446,482988,489876,594350,237740,227967,135500
329.054,0.175808,0.516301,1.12944,1.2912,1.31141,1.17987,1.05777,0.625175,0.426826,0.137787,-0.1775,-0.587943,-1.09183,-1.0817,-0.515886,-0.656066,-0.391546,-0.552291,-0.510441,-0.971268,-0.934924,-0.458788,-0.761313,-0.377498,-0.083351,0.127705,0.168748,0.172551,0.437659,0.0405695,-0.868724,0.358941,0.863316,647090,647090,701342,865140,1123540,1345330,1450410,1438290,1302560,1113910,898983,689074,486837,312241,181435,144036,143396,157872,170608,172932,155710,132696,143020,152739,171785,233059,311815,385620,442725,510447,519292,437685,443500,463434,561653,611881,642910,689130,740077,780789,810119,830029,647090,258836,246941,154273
338.656,0.23714,0.335815,0.989058,1.27901,1.2811,1.02896,1.04504,0.64485,0.51302,-0.00774194,-0.352601,-0.699092,-1.26845,-0.912663,-0.658834,-0.631653,-0.360309,-0.67903,-0.610022,-0.751521,-0.960003,-0.461596,-0.276165,-0.0170211,0.0281929,-0.190225,0.457581,0.278803,0.533036,0.124003,-0.103498,0.430884,-0.266075,692377,692377,729386,851846,1120790,1368830,1450690,1439770,1330360,1170290,945554,707976,491032,309675,187073,154654,163191,187901,195072,189223,181883,163703,175357,217652,279091,354951,397246,500691,592902,677198,685378,624219,637760,477602,368815,310384,284245,266939,249381,233453,220667,211576,692377,276951,288610,168447
329.138,0.43243,0.9095,0.948465,1.42545,1.29146,1.22797,1.18634,0.595136,0.494039,0.254125,-0.352785,-0.699132,-1.04422,-0.891041,-0.864001,-0.668055,-0.446806,-0.503545,-0.555626,-0.898024,-0.92017,-0.688704,-0.481273,-0.352843,-0.111707,0.147233,0.534802,0.360363,0.412864,0.544901,-0.245982,-0.609155,-0.432002,623841,623841,800310,920205,1164380,1372460,1462650,1475570,1333580,1134160,924189,695941,474049,298273,177507,139394,150561,172756,185247,184706,170385,151410,152421,175037,204701,262386,349437,498244,624536,713422,780547,713974,581221,298125,214537,202778,177674,148585,118150,94796.8,78602.9,67590.3,623841,249536,309265,207816
337.926,0.491399,0.705655,1.09271,1.55508,1.52049,1.04057,1.18289,0.342431,0.652755,0.172874,-0.0540995,-0.637076,-1.17262,-0.964378,-0.448353,-0.607578,-0.25806,-0.343018,-0.49659,-0.887268,-0.935051,-0.762618,-0.628557,-0.620675,-0.279129,-0.162682,0.109853,0.0505564,0.12702,-0.283037,0.0629522,0.545048,-0.111489,601319,601319,740124,876806,1191730,1491240,1525570,1466870,1271430,1083300,886523,683593,479018,298296,170098,135976,133766,151991,175544,177398,156764,129242,118474,125646,136360,175390,222241,283452,336173,374977,366599,360979,425795,331428,254570,218675,203596,190711,178061,167181,158918,153458,601319,240528,221424,149455
336.949,0.071289,0.479919,1.01819,1.26318,1.30276,1.27288,1.15476,0.799706,0.447419,0.325634,-0.0281714,-0.733492,-1.01714,-1.12068,-0.708382,-0.584372,-0.320528,-0.433646,-0.419767,-0.8465,-0.752955,-0.545724,-0.447746,-0.347847,0.11879,0.00398688,0.588991,0.0813389,0.555079,-0.102784,-0.497565,-0.367249,-0.209385,624400,624400,654578,781394,1015970,1239790,1387310,1426280,1335580,1153580,945784,742667,521299,331430,191589,137460,128164,144055,164275,172937,159446,140821,142369,159813,184553,256347,320135,426633,474855,516084,497717,419154,362893,233115,212641,215497,201017,184475,167837,154445,145612,140662,624400,249760,222084,159510
324.539,0.238877,0.437786,1.0459,1.35873,1.15513,1.18501,1.06117,0.561874,0.501214,0.0754623,-0.39302,-0.792335,-1.12353,-0.860568,-0.924645,-0.843446,-0.376956,-0.419402,-0.447312,-0.97094,-1.00908,-0.453423,-0.464592,-0.0531013,-0.0118105,0.167674,0.477855,0.430122,0.443887,0.273314,-0.115294,-0.188713,0.0341786,695193,695193,749848,896091,1196390,1399260,1498250,1508240,1368120,1185290,963499,723213,495700,314679,195343,154130,152507,180513,208482,217692,198718,171021,187096,220777,276634,356537,448766,589178,715482,793989,797538,720389,634154,410734,359267,348990,343829,334891,321366,307473,296579,289449,695193,278077,320563,205074
330.525,0.617195,0.749412,1.13289,1.44178,1.40683,1.32154,1.25382,0.880574,0.442731,0.359644,-0.144991,-0.831975,-0.886407,-0.783146,-0.780583,-0.766584,-0.341389,-0.406299,-0.425738,-0.923916,-0.924714,-0.773939,-0.854311,-0.359619,-0.184968,0.0441175,0.39796,0.232079,0.587631,0.0355868,-0.248233,-0.935849,-0.331132,578797,578797,747401,882189,1131430,1352460,1463360,1479920,1376500,1170230,943539,719852,487480,305246,184714,138619,130799,151521,173442,178379,160033,135309,127817,127405,148779,200387,262298,361223,448552,558377,583143,519326,423006,239346,201278,205941,192687,173877,152159,134237,121522,113159,578797,231519,257980,160304
